target_group,n,macro_f1,abusive_recall,hate_recall,n_normal,normal_fpr
African,315,0.4800140551665287,0.9183673469387755,0.8805309734513275,21,0.7619047619047619
Islam,194,0.4931071437504449,0.8959537572254336,0.8888888888888888,21,0.42857142857142855
Jewish,188,0.4951328864372342,0.9657142857142857,0.8913043478260869,13,0.8461538461538461
Homosexual,182,0.5807106448553817,0.8653846153846154,0.726027397260274,26,0.34615384615384615
Women,147,0.6213916994780697,0.7619047619047619,0.6944444444444444,21,0.38095238095238093
Refugee,85,0.6352081138040042,0.7547169811320755,0.6111111111111112,32,0.375
Other,72,0.6260045524225392,0.8615384615384616,0.7272727272727273,7,0.5714285714285714
Arab,67,0.534400193974662,0.9333333333333333,0.8888888888888888,7,0.7142857142857143
Caucasian,52,0.5756871854432829,0.5526315789473685,0.6363636363636364,14,0.21428571428571427
Asian,36,0.4963880288957688,0.75,0.6875,8,0.5
Hispanic,35,0.34455667789001126,0.9090909090909091,0.9583333333333334,2,1.0
