target_group,n,macro_f1,abusive_recall,hate_recall,n_normal,normal_fpr
African,315,0.4561239665255092,0.8095238095238095,0.8362831858407079,21,0.5238095238095238
Islam,194,0.4723805561334165,0.6936416184971098,0.6923076923076923,21,0.14285714285714285
Jewish,188,0.4706426539628743,0.8685714285714285,0.8043478260869565,13,0.6153846153846154
Homosexual,182,0.5301535344088536,0.7115384615384616,0.547945205479452,26,0.11538461538461539
Women,147,0.5203572311059338,0.5952380952380952,0.6111111111111112,21,0.14285714285714285
Refugee,85,0.4176798378926039,0.33962264150943394,0.3333333333333333,32,0.15625
Other,72,0.4777777777777778,0.7076923076923077,0.5454545454545454,7,0.42857142857142855
Arab,67,0.5078091257401603,0.7833333333333333,0.7555555555555555,7,0.7142857142857143
Caucasian,52,0.5087145969498911,0.39473684210526316,0.45454545454545453,14,0.0
Asian,36,0.3999583918448016,0.5714285714285714,0.5625,8,0.25
Hispanic,35,0.5376984126984127,0.8484848484848485,0.7916666666666666,2,0.5
