target_group,n,macro_f1,abusive_recall,hate_recall,n_normal,normal_fpr
African,315,0.4821559776035694,0.8775510204081632,0.831858407079646,21,0.6666666666666666
Islam,194,0.5017845117845118,0.7803468208092486,0.7094017094017094,21,0.23809523809523808
Jewish,188,0.468619390202124,0.9314285714285714,0.8260869565217391,13,0.7692307692307693
Homosexual,182,0.5327472527472528,0.7564102564102564,0.547945205479452,26,0.23076923076923078
Women,147,0.5730730730730731,0.7142857142857143,0.6111111111111112,21,0.19047619047619047
Refugee,85,0.46170890458385266,0.5283018867924528,0.2777777777777778,32,0.1875
Other,72,0.541555752735877,0.8153846153846154,0.5454545454545454,7,0.42857142857142855
Arab,67,0.5167455487942303,0.8666666666666667,0.7555555555555555,7,0.7142857142857143
Caucasian,52,0.5090982286634461,0.47368421052631576,0.45454545454545453,14,0.14285714285714285
Asian,36,0.3871991807475679,0.6785714285714286,0.5625,8,0.5
Hispanic,35,0.5369047619047619,0.8787878787878788,0.7916666666666666,2,0.5
