target_group,n,macro_f1,abusive_recall,hate_recall,n_normal,normal_fpr
African,315,0.4753904249871992,0.8775510204081632,0.8407079646017699,21,0.7619047619047619
Islam,194,0.5108520665920727,0.7803468208092486,0.7350427350427351,21,0.23809523809523808
Jewish,188,0.4780719347506352,0.9371428571428572,0.8260869565217391,13,0.7692307692307693
Homosexual,182,0.5528944736184046,0.7884615384615384,0.5342465753424658,26,0.19230769230769232
Women,147,0.564554324145117,0.7222222222222222,0.5833333333333334,21,0.23809523809523808
Refugee,85,0.4524119087996985,0.5094339622641509,0.3333333333333333,32,0.3125
Other,72,0.5336054421768708,0.8307692307692308,0.6363636363636364,7,0.5714285714285714
Arab,67,0.541977651275564,0.8666666666666667,0.7333333333333333,7,0.5714285714285714
Caucasian,52,0.5393413775766717,0.631578947368421,0.36363636363636365,14,0.21428571428571427
Asian,36,0.39037378392217104,0.7142857142857143,0.5625,8,0.5
Hispanic,35,0.4305555555555555,0.8787878787878788,0.7916666666666666,2,1.0
